DPW_Node_ID,PUC_Maximo_Asset_ID,System_Use_Code,System_Use,Drain_Type,POINT_X,POINT_Y,Location
371936349,371936349,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8245829, 39.2624878)"
371936350,371936350,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8241891, 39.2619333)"
371936351,371936351,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8248672, 39.2629186)"
371936352,371936352,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8253104, 39.263903)"
371936353,371936353,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8243516, 39.2620576)"
371936355,371936355,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8237498, 39.2608672)"
371936356,371936356,Default,Undefined,Storm Water Inlet Drain,,,"(-6.823874, 39.2613704)"
371936357,371936357,Default,Undefined,Storm Water Inlet Drain,,,"(-6.823581, 39.260744)"
371936358,371936358,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8244153, 39.2623615)"
371936359,371936359,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8249168, 39.2633534)"
371936360,371936360,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8239663, 39.2614325)"
371936361,371936361,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8254619, 39.264215)"
371936362,371936362,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8251334, 39.2634507)"
371936363,371936363,Default,Undefined,Storm Water Inlet Drain,,,"(-6.823526, 39.2604857)"
371944234,371944234,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8259695, 39.2659966)"
371944235,371944235,Default,Undefined,Storm Water Inlet Drain,,,"(-6.824012, 39.2727608)"
371944236,371944236,Default,Undefined,Storm Water Inlet Drain,,,"(-6.824012, 39.2726304)"
371944237,371944237,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8266987, 39.2727061)"
371944238,371944238,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8268415, 39.2728294)"
372018245,372018245,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8171555, 39.2532427)"
372018256,372018256,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8186733, 39.2544666)"
372018257,372018257,Default,Undefined,Storm Water Inlet Drain,,,"(-6.818858, 39.2543568)"
372018879,372018879,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8109833, 39.2609456)"
372018880,372018880,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8116278, 39.2603126)"
372018881,372018881,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8120932, 39.2602598)"
372019864,372019864,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8125642, 39.2550747)"
372019866,372019866,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8119593, 39.2552805)"
372019867,372019867,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8119453, 39.2552879)"
